Dates,ACC US Equity,AHH US Equity,AMH US Equity,ARE US Equity,BHR US Equity,CCI US Equity,CPT US Equity,DEA US Equity,DLR US Equity,EQIX US Equity,FPI US Equity,HASI US Equity,HST US Equity,HTA US Equity,IIPR US Equity,IRM US Equity,KRC US Equity,KREF US Equity,LAND US Equity,LSI US Equity,MPW US Equity,NLCP US Equity,NNN US Equity,PSA US Equity,PW US Equity,SAFE US Equity,SBAC US Equity,SPG US Equity,STWD US Equity
2018-04-27,39.38,13.64,20.08,124.86,10.40,101.31,86.11,20.73,107.80,421.15,7.55,19.48,19.75,24.76,33.53,34.50,72.69,19.86,12.67,59.39,12.81,#N/A N/A,38.43,202.45,5.94,18.19,158.95,156.14,21.01
2018-05-04,39.49,13.93,20.49,128.55,10.17,103.31,86.44,21.14,106.39,403.88,7.40,18.87,19.84,25.50,34.13,34.49,73.23,20.01,12.58,60.03,13.13,#N/A N/A,39.85,207.39,5.65,17.39,159.14,159.34,21.41
2018-05-11,39.83,13.92,20.95,128.04,10.78,103.61,87.40,20.83,108.79,401.89,8.12,19.08,20.73,26.00,33.28,33.53,74.58,20.30,12.78,61.92,13.39,#N/A N/A,40.33,211.60,5.70,18.00,160.10,159.89,21.51
2018-05-18,36.85,13.73,19.70,121.22,10.36,102.23,82.96,19.86,105.24,385.86,8.21,18.76,20.50,24.38,33.63,32.08,71.91,20.18,12.72,59.83,13.03,#N/A N/A,39.22,203.59,6.21,18.36,157.69,154.18,21.57
2018-05-25,38.30,14.33,19.62,123.50,10.77,102.74,85.60,19.95,106.56,388.05,8.41,18.40,21.56,24.79,36.65,32.99,74.74,20.39,12.76,60.95,13.31,#N/A N/A,40.72,208.49,5.78,18.89,157.91,159.49,21.77
2018-06-01,41.00,14.36,20.17,125.58,10.77,103.80,89.24,20.00,108.51,399.21,8.54,18.38,21.91,25.81,37.88,33.95,75.94,20.29,12.76,61.80,13.62,#N/A N/A,41.11,211.62,5.79,18.69,158.48,160.80,21.77
2018-06-08,42.37,14.59,20.95,127.19,10.33,103.04,91.13,19.91,109.57,403.35,8.70,17.97,22.09,24.95,37.99,34.61,76.95,20.31,12.72,62.75,13.96,#N/A N/A,41.96,216.55,5.77,18.77,157.32,165.38,22.24
2018-06-15,42.72,14.74,21.03,127.84,10.51,101.09,90.31,20.03,106.23,398.76,8.95,18.49,21.29,25.43,35.75,33.26,75.70,20.11,12.73,61.99,13.91,#N/A N/A,42.14,214.02,5.74,18.77,156.17,164.48,22.12
2018-06-22,43.08,15.19,21.85,127.08,10.73,103.60,92.19,19.48,107.89,418.86,9.08,18.98,21.42,26.34,35.06,35.00,75.03,20.55,12.73,64.33,14.11,#N/A N/A,43.73,225.96,5.96,19.34,162.06,172.85,22.43
2018-06-29,42.88,14.90,22.18,126.17,11.30,107.82,91.13,19.76,111.58,429.89,8.80,19.75,21.07,26.96,36.62,35.01,75.64,19.78,12.67,64.87,14.04,#N/A N/A,43.96,226.86,5.78,18.97,165.12,170.19,21.71
2018-07-06,43.17,15.53,22.54,127.67,11.76,111.27,91.65,19.94,115.30,445.70,8.87,19.68,21.32,27.36,35.48,35.89,76.20,20.51,12.60,66.83,14.45,#N/A N/A,44.94,232.21,5.79,19.81,165.46,172.99,22.32
2018-07-13,42.70,15.38,22.71,127.91,11.75,111.06,91.51,19.86,116.24,443.43,6.24,19.83,21.18,26.63,34.51,36.64,76.40,20.71,12.04,64.81,14.34,#N/A N/A,44.37,228.08,5.74,19.03,164.61,171.69,22.25
2018-07-20,42.05,15.14,22.67,124.69,11.34,110.33,89.94,19.48,116.00,434.22,6.50,20.07,21.28,26.94,32.91,34.95,73.61,20.64,11.48,63.71,14.18,#N/A N/A,44.52,222.12,5.90,18.47,162.26,170.50,22.27
2018-07-27,40.68,14.81,21.93,122.55,11.15,109.06,90.32,18.85,121.11,443.20,6.53,19.68,20.81,26.91,32.29,34.46,71.63,20.50,11.59,63.05,14.05,#N/A N/A,44.49,215.36,5.79,17.68,160.07,168.58,22.51
2018-08-03,41.28,15.47,22.59,127.46,11.48,112.49,93.85,19.32,122.58,455.43,6.72,19.45,21.63,28.24,33.14,35.76,73.57,20.59,11.81,65.30,14.58,#N/A N/A,45.76,213.98,5.82,17.07,158.49,178.27,22.79
2018-08-10,40.53,15.42,22.40,125.21,10.10,110.34,92.38,19.63,120.96,437.24,6.62,20.17,20.27,27.96,35.19,34.60,71.53,19.94,12.52,64.87,14.38,#N/A N/A,44.91,214.73,5.80,17.14,156.10,174.38,21.66
2018-08-17,42.07,15.99,23.00,129.76,10.81,113.86,94.90,20.45,124.03,438.77,7.03,20.96,20.93,28.91,34.74,36.48,73.00,20.13,13.22,68.16,14.93,#N/A N/A,45.93,223.57,5.79,16.85,157.82,178.48,21.98
2018-08-24,41.93,15.85,23.01,126.63,10.88,112.43,94.49,20.08,123.64,430.02,6.77,21.14,20.96,28.60,40.74,35.90,72.79,21.29,13.28,65.72,14.91,#N/A N/A,46.06,213.30,5.73,16.21,156.03,180.92,21.94
2018-08-31,41.93,15.59,23.20,128.35,11.43,114.03,95.06,20.25,124.28,436.13,7.06,21.56,21.53,28.57,45.40,36.10,73.14,21.20,13.70,65.07,15.05,#N/A N/A,46.09,212.58,5.72,16.50,155.23,183.03,22.03
2018-09-07,41.66,15.47,22.87,126.65,11.49,113.02,93.99,19.84,122.65,431.09,6.67,21.41,21.41,27.62,42.96,35.36,72.10,20.75,13.16,64.29,14.89,#N/A N/A,45.76,209.11,5.63,16.98,158.18,181.69,22.33
2018-09-14,42.26,15.25,22.49,126.99,11.06,111.55,94.54,19.77,121.89,448.14,6.56,21.28,21.57,27.35,41.75,35.65,71.44,20.50,12.58,64.36,14.66,#N/A N/A,45.44,206.58,5.65,17.76,159.66,182.50,22.31
2018-09-21,42.03,14.89,22.75,126.80,11.82,111.71,94.91,19.72,120.92,441.68,6.59,21.70,21.12,26.76,47.47,35.91,71.41,20.55,12.45,64.07,14.69,#N/A N/A,44.37,204.23,5.51,18.82,160.53,180.48,21.88
2018-09-28,41.16,15.11,21.89,125.79,11.65,111.33,93.57,19.37,112.48,432.89,6.70,21.47,21.10,26.67,48.24,34.52,71.69,20.17,12.34,63.44,14.91,#N/A N/A,44.82,201.63,5.70,18.73,160.63,176.75,21.52
2018-10-05,41.00,14.77,20.90,122.88,11.24,108.74,92.07,18.24,109.79,417.32,6.98,20.80,20.10,25.71,42.59,33.29,70.72,19.88,12.03,61.20,14.29,#N/A N/A,43.93,199.01,5.65,17.96,152.82,171.28,21.08
2018-10-12,39.20,14.51,20.21,120.04,9.90,104.95,89.23,17.70,107.43,395.94,6.06,19.86,19.18,25.01,42.61,31.59,69.03,19.59,11.94,59.97,14.06,#N/A N/A,43.26,196.85,5.64,17.02,147.61,171.18,21.32
2018-10-19,40.30,14.98,20.76,122.42,10.68,106.93,93.02,18.24,112.58,414.31,6.81,20.27,19.10,25.93,40.28,32.18,70.62,20.11,12.07,61.67,14.72,#N/A N/A,45.76,199.96,5.53,16.57,154.38,174.77,21.65
2018-10-26,40.22,15.00,20.82,121.09,10.20,103.54,90.36,18.07,106.01,385.22,6.88,19.59,18.43,26.26,41.43,30.48,68.31,19.86,12.51,61.67,14.76,#N/A N/A,46.83,200.82,5.56,17.50,151.21,179.76,21.45
2018-11-02,39.52,14.80,19.95,120.12,10.21,109.34,89.53,18.00,107.53,392.43,7.00,21.89,18.68,25.35,40.89,31.18,68.20,19.95,12.42,60.87,15.34,#N/A N/A,46.88,199.23,5.53,17.88,164.87,180.41,21.58
2018-11-09,41.34,15.47,20.52,124.46,9.73,110.87,92.54,18.06,110.62,384.94,7.48,23.02,18.90,26.33,44.51,32.77,70.74,20.64,13.10,64.11,16.72,#N/A N/A,49.15,206.35,5.35,18.43,171.51,188.69,22.01
2018-11-16,41.70,15.07,19.82,122.83,9.44,112.12,92.28,17.98,111.41,388.63,6.61,23.42,19.26,26.90,50.26,33.86,69.13,19.48,12.86,65.17,16.61,#N/A N/A,49.17,211.37,5.46,18.93,172.02,185.07,22.23
2018-11-23,43.24,14.78,19.84,121.59,9.61,107.96,93.41,17.78,109.38,380.40,6.22,23.27,18.93,27.47,54.59,32.42,67.60,19.07,12.85,64.04,16.47,#N/A N/A,49.13,207.66,5.64,19.13,165.64,182.43,21.92
2018-11-30,43.83,15.21,20.83,124.50,9.40,114.90,95.16,18.22,115.04,385.28,6.20,22.85,19.00,28.12,49.35,33.97,70.09,19.50,13.22,65.09,17.27,#N/A N/A,50.06,213.26,5.60,19.74,170.81,185.69,22.37
2018-12-07,43.73,15.19,20.94,126.17,9.86,115.76,92.93,18.38,115.72,386.47,5.77,23.08,18.39,28.65,49.94,34.05,70.67,19.71,13.41,67.45,16.97,#N/A N/A,50.82,214.14,5.26,19.01,168.17,188.42,22.35
2018-12-14,43.39,15.23,20.62,122.50,10.07,114.55,91.50,17.46,114.32,386.90,5.21,22.12,17.78,27.30,52.11,35.02,65.88,19.52,12.58,67.54,16.85,#N/A N/A,50.65,203.47,5.37,19.23,172.50,182.66,21.82
2018-12-21,42.17,14.44,19.52,115.34,8.75,106.20,89.40,15.76,106.10,350.31,4.78,19.55,16.54,25.67,44.98,32.13,62.79,18.97,11.84,63.69,16.25,#N/A N/A,48.41,203.30,5.05,19.55,161.79,164.88,19.85
2018-12-28,41.12,14.02,19.80,113.94,8.83,108.12,87.31,15.65,106.07,352.85,4.50,19.42,16.68,25.39,45.89,32.39,61.95,19.12,11.52,61.97,16.01,#N/A N/A,48.42,201.90,5.11,19.17,162.49,168.10,19.96
2019-01-04,41.19,14.07,19.66,113.44,8.91,108.07,84.94,15.94,104.81,353.79,5.70,20.99,16.87,25.24,46.30,33.18,62.43,19.64,11.97,60.29,16.05,#N/A N/A,47.81,196.60,5.20,17.81,162.94,167.38,19.99
2019-01-11,42.76,14.81,20.78,120.34,9.46,107.38,88.79,17.01,106.64,371.43,5.93,21.67,17.74,26.38,51.78,34.83,67.06,20.01,12.60,61.52,16.60,#N/A N/A,49.45,200.70,5.08,17.32,169.79,172.35,20.78
2019-01-18,43.41,14.54,21.44,124.26,9.98,107.61,91.93,17.18,107.25,374.67,5.77,22.15,17.52,26.87,54.32,35.64,68.28,20.20,11.60,62.00,17.09,#N/A N/A,49.98,203.13,4.93,17.36,173.05,173.96,21.14
2019-01-25,44.67,14.51,21.49,125.41,10.11,113.70,93.52,17.49,104.17,369.44,5.57,22.62,17.49,27.49,59.94,36.05,68.56,20.14,11.47,63.22,17.54,#N/A N/A,50.84,205.64,4.88,16.60,177.27,177.11,21.32
2019-02-01,45.21,14.99,22.15,130.64,11.05,116.98,96.69,17.70,108.56,396.38,5.51,22.45,18.04,28.24,63.31,36.61,69.89,20.51,11.89,65.27,17.67,#N/A N/A,52.29,209.50,5.06,17.76,181.14,179.21,21.94
2019-02-08,45.85,15.19,22.74,132.37,11.55,118.37,98.92,17.97,112.32,395.82,5.52,23.01,17.97,28.42,64.31,36.51,72.36,20.42,12.08,67.60,18.46,#N/A N/A,53.18,210.57,5.57,18.09,183.22,184.10,22.13
2019-02-15,45.63,15.46,22.97,134.86,11.76,120.13,98.70,17.96,115.03,421.39,5.62,23.45,18.64,28.50,64.99,35.12,73.97,20.34,12.49,66.67,18.36,#N/A N/A,52.57,207.74,5.41,19.04,185.50,183.36,21.82
2019-02-22,45.15,15.63,21.90,136.72,12.66,119.87,97.62,18.00,118.49,428.54,5.37,23.97,20.14,28.76,72.99,35.58,74.85,20.19,12.27,64.89,18.50,#N/A N/A,52.69,201.14,5.36,19.82,182.55,183.63,22.16
2019-03-01,45.03,15.20,21.77,135.91,13.24,119.23,97.66,17.53,114.65,432.79,5.10,24.68,19.55,28.22,78.06,35.78,73.90,20.30,12.16,65.03,18.08,#N/A N/A,51.80,212.00,5.66,18.99,182.11,175.57,22.27
2019-03-08,45.60,15.17,22.09,137.60,12.17,120.96,99.12,17.80,111.99,430.38,5.18,25.32,19.29,27.90,69.25,34.78,73.95,20.03,11.83,63.26,18.04,#N/A N/A,52.15,214.32,5.69,19.25,183.47,174.22,22.21
2019-03-15,46.56,15.42,22.76,140.52,11.28,125.03,100.77,17.63,115.23,441.61,6.18,24.89,19.16,28.79,80.29,34.93,74.80,20.38,12.04,63.83,18.30,#N/A N/A,53.06,217.62,5.63,20.64,190.95,176.09,22.58
2019-03-22,46.80,15.18,22.59,141.72,12.01,125.50,99.81,17.87,119.12,451.50,5.99,25.11,18.80,28.29,87.75,35.12,76.10,20.37,12.13,63.69,18.54,#N/A N/A,54.18,222.12,5.69,20.16,197.12,177.60,22.60
2019-03-29,47.58,15.59,22.72,142.56,12.08,128.00,101.50,18.01,119.00,453.16,6.40,25.64,18.90,28.59,81.69,35.46,75.96,20.02,12.65,64.85,18.51,#N/A N/A,55.39,217.78,5.68,21.81,199.66,182.21,22.35
2019-04-05,48.25,15.70,23.06,143.97,13.37,129.10,101.71,18.23,122.41,466.62,6.60,25.60,19.33,28.66,82.58,36.36,76.56,20.14,12.39,64.83,18.75,#N/A N/A,53.62,218.57,5.50,22.70,201.01,184.80,22.52
2019-04-12,48.42,15.66,23.60,144.35,12.98,128.87,102.62,17.87,122.73,463.38,6.66,25.84,19.22,28.52,84.70,36.53,77.15,20.27,12.52,64.35,18.76,#N/A N/A,53.55,221.76,5.59,23.14,204.24,185.52,22.72
2019-04-19,47.33,15.64,23.31,138.66,13.27,122.62,98.63,17.60,120.45,446.44,6.58,25.61,18.90,27.50,80.74,35.94,75.34,20.18,12.54,62.81,17.24,#N/A N/A,51.54,217.45,5.48,23.17,198.18,178.06,22.57
2019-04-26,47.70,15.97,24.01,143.32,13.70,124.01,100.67,17.91,116.79,453.05,6.42,26.99,19.18,28.01,86.85,32.44,77.70,20.26,12.51,63.46,17.48,#N/A N/A,53.16,218.95,5.84,25.70,201.07,178.61,23.05
2019-05-03,47.31,16.03,24.28,142.30,13.34,124.79,100.83,18.34,120.70,476.99,6.61,27.69,19.88,28.06,86.21,31.60,77.90,20.46,12.65,64.29,18.10,#N/A N/A,53.45,226.75,5.73,25.31,206.92,179.41,23.05
2019-05-10,45.91,16.41,23.79,142.73,12.88,125.68,100.98,18.18,117.58,479.82,6.48,26.72,19.21,27.45,81.23,31.35,77.50,20.25,12.48,63.47,17.88,#N/A N/A,52.82,225.51,5.63,27.38,210.39,175.21,22.54
2019-05-17,46.67,16.47,24.04,146.30,12.45,127.25,102.94,18.78,117.98,490.28,6.09,26.18,19.18,28.18,88.86,32.09,77.10,20.24,12.68,63.69,18.24,#N/A N/A,53.26,230.12,5.54,28.32,209.98,174.46,22.66
2019-05-24,47.34,16.55,24.40,145.34,11.93,127.83,104.30,18.66,119.98,496.52,6.07,27.16,19.26,28.81,87.29,31.31,75.32,20.31,12.69,65.08,18.76,#N/A N/A,53.73,236.23,5.72,29.17,208.74,171.33,22.78
2019-05-31,46.32,16.50,24.41,146.41,10.33,130.01,103.36,18.41,117.72,485.79,6.19,25.91,18.11,28.79,84.03,30.65,73.71,19.78,12.40,64.19,17.78,#N/A N/A,53.53,237.88,5.66,27.29,216.41,162.09,22.05
2019-06-07,47.17,16.80,24.79,150.70,9.98,135.22,106.21,18.63,116.00,499.60,6.36,26.23,18.34,28.87,95.19,31.19,75.62,20.19,12.24,65.55,18.33,#N/A N/A,54.49,245.21,5.54,29.84,220.50,163.39,22.71
2019-06-14,47.00,17.02,24.72,151.30,9.97,133.31,106.16,18.58,119.76,509.92,6.46,26.99,18.31,28.85,108.48,31.73,77.36,20.36,12.25,65.41,18.04,#N/A N/A,55.28,243.31,5.44,29.52,226.50,162.92,22.92
2019-06-21,46.78,17.19,24.99,145.28,9.70,135.78,106.17,18.32,123.15,508.09,6.80,27.53,18.17,28.37,117.52,32.06,75.96,20.22,11.60,64.70,18.21,#N/A N/A,55.00,240.50,5.40,28.61,231.91,164.09,23.06
2019-06-28,46.16,16.55,24.31,141.09,9.80,130.35,104.39,18.11,117.79,504.29,7.05,28.18,18.22,27.43,123.56,31.30,73.81,19.92,11.53,63.39,17.44,#N/A N/A,53.01,238.17,5.48,30.20,224.84,159.76,22.72
2019-07-05,47.60,16.90,25.12,145.00,9.41,134.23,107.43,18.49,121.04,518.18,6.75,28.35,18.41,27.63,130.16,31.59,76.12,20.02,11.63,65.86,18.29,#N/A N/A,54.12,245.22,5.62,30.99,232.61,162.96,22.93
2019-07-12,48.83,16.60,25.47,145.70,9.26,132.52,108.71,18.44,120.07,518.01,6.54,28.05,18.20,27.85,126.08,30.17,76.93,20.14,11.66,67.06,18.51,#N/A N/A,53.78,248.68,5.58,32.52,233.97,162.26,23.25
2019-07-19,47.78,16.69,24.88,141.58,9.35,125.48,106.10,18.46,117.73,506.61,6.23,27.53,17.67,27.29,123.32,30.06,76.18,20.09,11.33,64.82,17.49,#N/A N/A,51.69,244.08,8.27,32.98,228.40,156.44,23.04
2019-07-26,46.74,16.78,24.97,143.46,9.12,130.58,105.91,18.59,111.53,488.81,6.05,27.89,17.61,26.82,107.73,29.91,80.04,20.06,11.51,64.75,17.82,#N/A N/A,52.25,239.43,8.76,33.28,236.82,158.33,23.03
2019-08-02,46.81,17.19,24.21,144.87,8.41,135.23,103.94,19.22,117.21,524.09,5.99,27.50,17.07,27.13,102.71,31.44,78.20,19.87,11.56,67.07,17.87,#N/A N/A,53.17,249.54,8.79,33.52,248.62,159.25,23.28
2019-08-09,46.75,17.38,24.77,145.32,8.92,141.24,105.78,19.88,120.30,552.42,6.41,27.94,16.64,27.57,102.50,30.58,77.53,19.39,11.69,68.76,18.11,#N/A N/A,54.99,257.05,9.13,29.21,254.29,154.95,23.68
2019-08-16,47.19,17.44,24.91,148.10,9.16,142.92,106.18,20.71,123.67,551.81,6.40,27.17,15.85,28.12,106.10,31.49,78.57,19.13,11.64,68.75,18.15,#N/A N/A,54.88,258.78,9.13,28.85,260.29,148.61,23.48
2019-08-23,46.56,17.11,25.25,146.83,8.26,146.34,106.37,20.33,120.72,549.42,6.24,26.53,15.69,27.76,101.50,31.14,77.40,19.07,11.49,69.28,18.31,#N/A N/A,55.55,259.50,9.31,27.80,260.80,146.03,23.49
2019-08-30,46.48,17.34,25.58,149.84,9.07,145.17,108.25,20.55,123.63,556.28,6.03,27.63,16.04,28.36,89.16,31.85,77.86,18.91,11.51,70.64,18.59,#N/A N/A,56.15,264.74,9.26,29.30,262.43,148.94,23.43
2019-09-06,47.36,17.67,25.25,153.11,9.12,146.44,110.95,21.01,128.62,554.09,6.43,27.58,16.66,28.72,83.30,33.05,77.82,19.27,11.71,69.43,19.22,#N/A N/A,55.90,257.50,9.04,27.67,262.38,151.25,23.81
2019-09-13,47.30,18.02,24.37,151.52,9.54,136.44,107.78,20.87,124.32,536.80,6.90,27.82,17.32,27.65,91.33,32.55,76.00,19.74,11.98,68.28,18.46,#N/A N/A,53.05,243.45,9.45,30.43,243.52,153.93,24.39
2019-09-20,47.14,18.30,25.33,153.44,9.54,140.58,110.00,20.97,125.03,566.45,6.61,28.99,17.24,28.58,95.21,32.00,78.60,20.07,11.96,69.75,19.04,#N/A N/A,55.72,247.80,9.44,29.58,256.77,155.04,24.79
2019-09-27,47.93,17.99,25.79,153.11,9.32,137.87,110.84,21.23,128.85,576.62,6.51,29.10,17.11,29.57,95.74,32.18,77.55,19.50,11.89,70.55,19.47,#N/A N/A,56.41,245.01,9.60,30.02,236.83,157.96,24.30
2019-10-04,48.85,18.30,26.04,154.80,9.04,137.92,112.78,21.69,130.27,581.65,6.36,28.54,16.62,29.65,91.28,32.21,77.88,19.39,11.67,70.95,19.47,#N/A N/A,56.99,246.82,9.12,33.59,236.58,148.00,24.13
2019-10-11,48.61,18.01,26.10,153.97,8.90,136.68,112.82,21.57,129.31,566.61,6.55,28.75,16.66,29.33,78.77,32.24,78.09,19.37,11.87,71.18,19.77,#N/A N/A,56.87,245.96,8.16,34.27,241.47,148.60,24.25
2019-10-18,49.17,18.27,25.83,156.01,9.04,144.06,114.73,21.89,132.98,576.41,6.70,28.96,16.44,30.31,72.54,33.50,78.25,19.74,11.89,71.59,20.10,#N/A N/A,57.31,241.55,8.03,33.98,244.10,149.92,24.66
2019-10-25,50.29,18.22,26.25,158.25,9.32,141.00,113.83,22.02,132.82,565.74,6.58,29.15,16.68,30.23,71.85,34.09,82.08,20.22,11.94,69.55,20.45,#N/A N/A,57.89,234.00,7.62,33.54,244.15,155.56,24.25
2019-11-01,50.00,18.77,26.33,158.42,9.37,137.42,114.35,22.31,126.80,562.24,6.92,30.11,16.76,30.74,75.54,33.52,84.50,19.83,12.01,72.05,20.82,#N/A N/A,57.70,219.26,7.87,34.28,240.18,154.10,24.39
2019-11-08,47.11,17.51,25.71,153.91,9.21,130.81,110.12,22.84,116.57,530.31,6.77,29.25,17.17,29.09,85.22,32.54,82.70,19.77,12.10,72.01,19.95,#N/A N/A,55.20,211.35,8.74,33.75,228.46,154.49,24.26
2019-11-15,47.07,17.89,26.51,158.76,9.67,134.68,112.29,22.82,118.87,550.41,6.58,28.73,17.14,29.48,85.48,33.58,82.85,19.75,12.09,73.17,20.25,#N/A N/A,56.61,213.21,8.03,35.43,237.26,154.00,23.99
2019-11-22,46.68,17.47,26.26,159.67,9.77,132.32,109.45,22.87,119.60,557.58,6.36,28.59,16.91,29.40,77.93,33.79,81.21,19.85,12.10,73.03,19.70,#N/A N/A,55.26,209.02,7.91,37.94,232.35,147.70,24.13
2019-11-29,48.04,18.06,26.71,162.52,9.81,133.66,111.55,23.26,120.95,566.85,6.67,29.35,17.49,30.35,77.41,32.12,83.24,20.19,12.68,73.01,20.76,#N/A N/A,55.74,210.68,9.00,40.85,236.47,151.21,24.50
2019-12-06,48.21,18.46,26.35,161.94,9.41,135.46,110.48,23.29,118.37,559.19,6.60,29.51,17.89,30.66,73.09,32.75,84.22,20.49,13.09,72.22,21.27,#N/A N/A,54.58,213.85,8.87,41.87,236.49,148.24,24.81
2019-12-13,46.01,18.47,25.62,156.47,9.45,132.68,105.25,22.67,113.71,551.84,6.45,31.16,17.95,28.95,74.01,31.59,81.55,20.29,12.86,69.46,19.87,#N/A N/A,51.72,205.43,8.81,39.02,235.48,144.35,24.74
2019-12-20,46.20,18.33,25.90,159.24,9.02,142.00,105.77,23.40,118.02,577.71,6.62,32.42,18.71,30.14,70.97,31.96,82.77,20.65,12.80,71.55,20.70,#N/A N/A,52.27,211.50,8.38,39.75,241.22,145.49,25.12
