Dates,ACC US Equity,AHH US Equity,AMH US Equity,ARE US Equity,BHR US Equity,CCI US Equity,CPT US Equity,DEA US Equity,DLR US Equity,EQIX US Equity,FPI US Equity,HASI US Equity,HST US Equity,HTA US Equity,IIPR US Equity,IRM US Equity,KRC US Equity,KREF US Equity,LAND US Equity,LSI US Equity,MPW US Equity,NLCP US Equity,NNN US Equity,PSA US Equity,PW US Equity,SAFE US Equity,SBAC US Equity,SPG US Equity,STWD US Equity
2019-12-27,46.60,18.15,26.02,160.40,9.25,141.08,105.18,23.40,118.18,582.50,6.91,32.12,18.86,30.11,75.34,31.81,83.58,20.88,12.84,71.65,20.71,#N/A N/A,52.96,211.64,8.33,39.81,241.41,147.59,25.45
2020-01-03,46.40,18.18,26.30,160.64,8.85,142.46,105.90,23.49,119.94,585.12,6.66,31.62,18.04,29.96,75.11,30.64,83.04,20.42,12.96,72.31,20.93,#N/A N/A,53.20,213.70,8.51,40.34,241.03,145.35,24.84
2020-01-10,45.75,18.21,26.24,158.57,8.81,142.40,106.22,22.96,120.37,594.00,6.86,32.39,17.52,30.23,80.30,30.66,80.95,20.57,13.07,73.30,21.28,#N/A N/A,53.52,215.82,7.81,40.58,244.83,144.79,24.77
2020-01-17,46.33,18.74,26.95,162.90,8.92,145.25,109.97,23.53,124.44,588.00,6.69,33.59,17.88,31.06,82.50,31.38,82.30,20.92,13.43,75.95,22.29,#N/A N/A,55.34,220.75,8.40,42.01,252.04,147.77,25.40
2020-01-24,46.90,19.11,27.37,164.66,8.19,149.90,111.04,24.12,128.26,591.96,6.78,34.18,17.08,32.10,80.76,31.55,82.35,21.00,13.51,76.20,22.40,#N/A N/A,56.51,224.47,7.90,45.26,253.15,144.82,25.52
2020-01-31,45.87,18.34,27.33,163.20,7.98,149.84,112.43,24.21,122.99,589.73,6.48,34.09,16.34,32.03,89.50,31.61,82.57,21.05,13.23,75.45,22.15,#N/A N/A,56.00,223.76,8.00,44.96,249.56,133.15,25.66
2020-02-07,46.07,18.38,27.89,167.55,8.01,150.49,112.86,24.59,123.28,606.00,6.61,35.99,16.70,31.99,92.52,31.83,85.25,21.23,13.46,76.02,23.28,#N/A N/A,56.85,225.23,8.72,49.72,258.82,141.02,26.01
2020-02-14,47.96,18.84,29.52,174.93,8.16,165.97,118.89,25.24,131.50,648.65,6.79,36.68,16.91,33.51,98.96,33.14,88.28,21.39,14.00,78.10,24.08,#N/A N/A,57.04,232.82,12.03,53.00,294.61,138.92,25.94
2020-02-21,48.49,18.84,28.77,167.98,8.35,168.06,120.42,25.27,138.13,655.99,6.80,39.21,17.38,33.75,105.58,34.45,86.35,21.74,14.38,78.33,24.15,#N/A N/A,58.15,225.77,12.88,56.68,295.65,142.25,25.98
2020-02-28,43.44,16.76,25.89,151.88,7.36,143.29,105.98,23.77,120.11,572.80,5.91,33.95,14.48,31.14,91.94,30.41,72.69,19.64,13.43,71.94,21.13,#N/A N/A,50.85,209.12,11.68,54.62,265.09,123.08,22.18
2020-03-06,45.20,17.86,28.94,159.06,6.26,160.82,113.95,25.16,128.24,608.67,6.57,35.83,13.46,34.14,93.75,31.77,74.57,19.53,13.90,79.25,23.02,#N/A N/A,52.98,228.94,11.31,64.24,285.57,119.06,22.38
2020-03-13,37.83,12.77,27.94,147.74,2.99,155.09,95.97,22.96,143.34,621.09,6.21,24.85,11.41,30.07,71.53,28.99,68.99,16.35,11.25,68.02,17.92,#N/A N/A,48.41,211.34,9.14,51.14,281.89,89.77,17.96
2020-03-20,23.08,8.20,19.53,123.31,1.74,128.06,71.04,23.06,121.20,506.52,6.03,17.47,10.64,21.96,59.78,22.71,51.23,9.94,10.51,49.66,14.07,#N/A N/A,29.97,171.22,7.83,52.00,229.33,48.14,10.34
2020-03-27,30.18,9.99,23.13,143.47,1.90,136.89,85.69,23.87,132.85,594.27,5.73,19.92,11.28,25.13,80.77,24.37,62.17,15.57,11.00,62.39,17.68,#N/A N/A,34.25,191.52,9.74,61.23,261.38,58.17,12.91
2020-04-03,25.88,9.23,20.64,129.99,1.24,145.62,71.95,25.26,136.49,624.69,5.82,17.09,9.06,21.94,66.59,22.06,58.40,12.83,11.61,59.90,14.40,#N/A N/A,26.46,194.08,9.64,42.81,264.80,46.72,9.28
2020-04-10,34.05,11.51,24.69,157.80,2.39,164.14,89.09,29.32,148.29,686.94,6.52,24.61,11.91,27.35,75.52,27.11,66.05,16.35,13.15,68.21,18.29,#N/A N/A,35.38,208.59,11.84,58.44,305.81,68.17,13.73
2020-04-17,33.67,8.94,24.85,155.31,2.52,167.05,87.82,27.12,149.20,694.95,6.19,26.81,11.37,24.89,73.44,24.99,64.32,15.05,12.68,62.14,17.17,#N/A N/A,31.19,196.48,12.87,54.22,314.83,56.12,12.46
2020-04-24,29.88,8.72,23.02,149.49,2.39,161.61,83.69,26.79,150.03,685.10,6.46,26.46,11.10,23.21,74.14,23.53,61.81,14.36,13.52,58.85,15.87,#N/A N/A,29.45,187.23,12.36,48.59,305.79,51.49,11.24
2020-05-01,32.76,9.36,23.25,150.99,2.88,156.41,85.13,25.96,145.92,670.85,6.50,26.52,11.44,23.10,75.13,23.60,60.13,15.83,13.70,57.47,16.67,#N/A N/A,31.60,184.36,12.75,52.39,286.76,63.20,12.77
2020-05-08,31.00,8.90,24.83,152.00,2.77,157.70,88.46,26.28,145.06,678.16,6.56,29.79,11.06,25.40,75.51,24.57,60.50,16.20,14.37,61.83,17.90,#N/A N/A,33.02,190.34,12.86,51.47,291.86,58.02,14.01
2020-05-15,28.47,7.07,23.09,141.43,2.19,150.14,83.80,23.26,130.77,658.66,6.42,27.41,10.06,24.08,74.02,22.42,51.49,13.81,13.00,56.12,16.03,#N/A N/A,28.11,175.97,18.72,48.35,284.10,51.32,11.63
2020-05-22,31.45,7.69,24.18,146.99,2.64,156.20,88.58,24.75,135.81,670.02,6.92,29.46,11.23,26.65,82.88,24.17,54.26,15.40,14.07,59.90,17.47,#N/A N/A,30.89,186.47,18.51,51.03,289.96,54.59,13.07
2020-05-29,32.30,8.62,25.24,153.72,3.40,172.16,91.57,25.07,143.56,697.63,6.90,29.01,11.94,26.47,81.72,25.76,57.12,16.19,14.50,64.99,18.08,#N/A N/A,31.39,202.74,22.09,54.79,314.13,57.70,13.26
2020-06-05,39.21,10.19,27.19,158.59,4.78,168.60,97.63,24.77,141.28,673.50,7.33,30.18,14.01,27.53,93.47,29.71,66.17,17.89,15.46,68.90,20.04,#N/A N/A,39.89,206.37,24.85,61.26,297.18,88.60,16.46
2020-06-12,36.25,9.52,27.15,159.27,4.02,164.37,95.31,23.91,136.00,676.64,6.82,28.27,12.64,27.17,90.09,27.82,63.20,16.91,15.35,64.30,19.38,#N/A N/A,35.64,196.47,24.91,61.25,297.37,75.98,15.24
2020-06-19,36.63,9.10,26.92,165.84,3.31,170.45,93.51,23.50,139.85,711.43,6.60,29.17,11.67,27.26,95.65,26.34,62.53,17.48,15.23,62.65,19.25,#N/A N/A,35.84,190.59,24.29,64.58,302.30,67.12,15.20
2020-06-26,34.70,9.57,26.96,161.83,2.60,161.33,88.69,22.77,140.59,686.54,6.90,27.20,10.74,26.14,89.26,24.67,58.41,17.27,15.31,61.03,18.26,#N/A N/A,34.54,189.28,28.36,54.94,294.19,61.90,15.14
2020-07-03,36.06,10.08,27.54,165.04,2.79,170.72,93.57,23.42,148.59,718.41,6.78,28.38,10.95,26.66,92.79,26.16,59.61,15.95,15.64,65.60,19.03,#N/A N/A,37.00,199.36,26.85,56.97,300.58,68.81,14.50
2020-07-10,32.49,9.44,26.56,160.81,2.42,171.50,89.37,22.88,147.39,716.59,6.82,29.86,10.84,25.70,90.78,26.74,57.88,15.44,15.77,64.25,17.73,#N/A N/A,33.44,194.43,24.75,52.77,304.42,63.98,13.79
2020-07-17,34.18,9.64,27.74,166.75,2.66,168.96,90.71,22.70,143.75,724.23,7.15,33.37,11.01,26.68,93.95,27.27,57.72,16.29,16.09,63.85,18.77,#N/A N/A,35.48,192.30,25.53,52.56,297.64,62.40,14.69
2020-07-24,34.38,9.33,27.27,168.55,2.37,166.70,89.53,22.98,146.99,737.39,6.97,33.56,10.50,26.68,93.06,27.24,56.49,16.47,15.89,62.26,18.92,#N/A N/A,34.40,185.36,24.06,48.70,298.68,60.57,14.47
2020-07-31,35.64,9.64,29.00,177.55,2.44,166.70,90.81,24.45,160.54,785.48,6.91,35.03,10.78,27.61,104.23,28.19,58.27,16.65,16.08,65.42,20.13,#N/A N/A,35.45,199.88,24.55,50.43,311.54,62.35,14.95
2020-08-07,34.87,10.37,29.22,175.65,2.86,168.19,88.90,25.56,158.61,791.70,6.95,38.26,11.50,26.83,114.63,29.45,58.55,17.40,16.50,68.10,19.87,#N/A N/A,36.37,199.25,22.10,51.07,311.28,62.19,15.68
2020-08-14,33.89,10.45,28.10,170.22,2.63,164.63,88.18,23.77,153.32,762.01,6.80,38.61,11.25,25.70,119.91,29.74,58.13,17.89,15.80,68.02,19.18,#N/A N/A,35.80,200.24,22.59,53.69,303.17,68.18,16.25
2020-08-21,32.53,9.90,28.69,170.69,2.25,163.17,87.66,24.60,154.56,782.17,6.87,41.23,10.60,25.74,120.84,30.21,56.92,17.46,15.46,68.23,18.38,#N/A N/A,34.98,206.55,20.54,51.45,305.44,64.52,15.36
2020-08-28,34.25,10.32,28.69,169.71,2.52,163.79,91.08,24.23,154.29,787.02,6.79,42.40,11.69,26.15,125.21,30.34,59.90,18.19,15.58,70.45,18.57,#N/A N/A,36.52,213.44,18.63,55.18,306.19,69.84,16.01
2020-09-04,35.82,10.20,28.65,166.43,2.50,160.59,93.19,23.73,145.18,752.18,6.60,40.40,11.94,26.58,117.72,30.16,57.90,18.45,15.30,71.80,18.40,#N/A N/A,37.45,212.14,18.89,58.43,300.29,70.24,15.63
2020-09-11,34.59,9.71,28.70,158.36,2.54,158.59,89.70,23.47,145.60,747.79,6.50,40.23,11.13,26.06,121.62,29.82,55.02,18.00,15.01,72.44,18.21,#N/A N/A,37.06,220.59,16.71,58.31,304.57,64.15,15.34
2020-09-18,36.32,9.75,28.51,159.35,2.69,159.68,88.97,22.50,144.88,752.07,6.65,39.16,11.15,25.11,124.79,28.33,54.15,17.90,15.36,71.51,17.01,#N/A N/A,37.03,221.01,18.58,57.09,308.70,69.83,16.09
2020-09-25,33.89,9.10,27.69,158.50,2.46,161.71,90.34,22.63,142.02,751.32,6.55,39.55,10.64,25.51,123.36,26.53,52.17,16.70,14.90,70.24,17.14,#N/A N/A,34.21,218.47,18.14,57.13,314.02,63.58,15.29
2020-10-02,37.76,9.57,29.50,164.71,2.55,168.62,94.84,22.83,149.35,778.00,6.84,43.18,11.29,26.80,125.31,27.34,53.92,16.90,15.50,74.17,18.56,#N/A N/A,36.69,230.59,18.91,64.93,318.12,68.20,15.53
2020-10-09,37.07,9.26,29.90,165.15,2.52,167.36,96.32,22.64,158.34,829.35,6.64,45.82,11.58,26.09,131.22,28.25,53.94,17.28,14.41,75.79,18.59,#N/A N/A,35.98,234.01,18.10,64.46,314.63,67.72,15.63
2020-10-16,36.42,8.88,29.11,162.06,2.37,166.90,92.18,22.21,157.70,817.69,6.63,45.54,10.95,25.48,129.51,27.51,51.02,17.25,14.25,77.56,18.05,#N/A N/A,34.19,233.00,18.91,65.54,310.25,64.82,15.32
